method,path,controller,action
GET,/Api-Employment-Type-List,api.'/getEmploymentTypeList',index
GET,/Api-Job-Type-List,api.'/getJobTypeList',index
GET,/Api-Pay-List,api.'/getPayList',index
GET,/Api-Event-Mode-List,api.'/getEventModeList',index
GET,/Api-Event-Type-List,api.'/getEventTypeList',index
GET,/Api-Fund-Size-List,api.'/getFundSizeList',index
GET,/Api-Update-Profile,api.'/updateProfile',index
GET,/Api-View-Profile,api.'/getProfile',index
GET,/Api-View-User-Detail-By-Mobile,api.'/getUserDetailByMobile',index
GET,/Api-View-User-Detail-By-Qrcode,api.'/getUserDetailByQrCode',index
GET,/Api-View-Profile-By-Mobile,api.'/getUserProfileByMobile',index
GET,/Api-Save-Education-Details,api.'/saveEducationDetails',index
GET,/Api-View-Education-Details,api.'/getEducationDetails',index
GET,/Api-Delete-Education-Detail,api.'/deleteEducationDetail',index
GET,/Api-Save-Project-Details,api.'/saveProjectDetails',index
GET,/Api-View-Project-Details,api.'/getProjectDetails',index
GET,/Api-Delete-Project-Detail,api.'/deleteProjectDetail',index
GET,/Api-Save-Work-Details,api.'/saveWorkDetails',index
GET,/Api-View-Work-Details,api.'/getWorkDetails',index
GET,/Api-Delete-Work-Detail,api.'/deleteWorkDetail',index
GET,/Api-Dashboard,api.'/dashboard',index
GET,/Api-Save-Job-Information,api.'/saveJobInformation',index
GET,/Api-View-Job-Information,api.'/getJobInformation',index
GET,/Api-Apply-Job,api.'/saveJobApplication',index
GET,/Api-View-Job-Details,api.'/getJobDetail',index
GET,/Api-Job-Applicants-List,api.'/getJobApplicantsList',index
GET,/Api-View-Resumes,api.'/getResumes',index
GET,/Api-Delete-Resume,api.'/deleteResume',index
GET,/Api-Send-Otp,api.'/sendOtp',index
GET,/Api-Verify-Otp,api.'/verifyOtp',index
GET,/Api-Save-Event-Information,api.'/saveEventInformation',index
GET,/Api-View-Event-Information,api.'/getEventInformation',index
GET,/Api-View-Event-Details,api.'/getEventDetail',index
